epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.065,0.31323,1.49307,1.00793,0.12252,0.4366,0.17789,0.08322,1.70215,4.79812,1.80284,0.0700619,0.00332646,0.00332646
2,251.463,0.27444,1.27747,0.96968,0.33581,0.71649,0.44249,0.40445,0.34805,1.50478,0.61537,0.0400554,0.00665329,0.00665329
3,377.708,0.24431,1.22241,0.95478,0.37595,0.7133,0.49904,0.47634,0.29281,1.26665,0.58184,0.0100229,0.00995412,0.00995412
4,494.929,0.21602,1.17215,0.93738,0.33274,0.692,0.41524,0.37929,0.33969,1.91363,0.60491,0.00991232,0.00991232,0.00991232
5,612.89,0.19008,1.12967,0.92353,0.3247,0.55056,0.31316,0.23151,0.77478,2.25357,0.9784,0.00984449,0.00984449,0.00984449
6,730.022,0.18215,1.09913,0.92076,0.52586,0.69446,0.59174,0.56327,0.30541,1.20835,0.61257,0.00975773,0.00975773,0.00975773
7,839.068,0.16751,1.07622,0.91603,0.4769,0.63362,0.58857,0.53633,0.33168,1.3722,0.62379,0.00965239,0.00965239,0.00965239
8,940.021,0.1649,1.05712,0.91728,0.46932,0.78144,0.65989,0.6234,0.30738,1.15423,0.61341,0.00952889,0.00952889,0.00952889
9,1040.93,0.15963,1.02812,0.91327,0.56123,0.74124,0.71865,0.7048,0.25822,1.03183,0.52756,0.00938772,0.00938772,0.00938772
10,1142.28,0.15153,1.00535,0.9071,0.65999,0.69595,0.75589,0.73558,0.25734,0.92005,0.53401,0.00922942,0.00922942,0.00922942
11,1242.6,0.14944,0.99732,0.90728,0.55853,0.73556,0.71334,0.70353,0.2337,0.95688,0.53738,0.00905463,0.00905463,0.00905463
12,1343.23,0.14355,0.98522,0.9035,0.60904,0.73905,0.75438,0.74445,0.23904,0.99644,0.46246,0.00886404,0.00886404,0.00886404
13,1443.44,0.13939,0.95694,0.90326,0.68922,0.71744,0.76158,0.73783,0.24367,0.82277,0.51266,0.00865839,0.00865839,0.00865839
14,1544.3,0.13622,0.94961,0.9048,0.50465,0.69807,0.64137,0.62812,0.2326,1.20284,0.51986,0.00843851,0.00843851,0.00843851
15,1644.69,0.13877,0.94351,0.90257,0.64334,0.78989,0.82259,0.81496,0.22271,0.80648,0.51031,0.00820525,0.00820525,0.00820525
16,1744.96,0.13041,0.93312,0.90022,0.51825,0.80019,0.74424,0.70916,0.23918,1.08442,0.48306,0.00795954,0.00795954,0.00795954
17,1845.87,0.12299,0.92176,0.8954,0.66651,0.80777,0.80856,0.795,0.2031,0.77515,0.46807,0.00770234,0.00770234,0.00770234
18,1946.69,0.1206,0.90371,0.89534,0.62424,0.80432,0.81968,0.80542,0.22427,0.84678,0.50127,0.00743468,0.00743468,0.00743468
19,2046.58,0.11636,0.8936,0.8945,0.65631,0.76994,0.79676,0.77143,0.23983,0.90768,0.48275,0.00715761,0.00715761,0.00715761
20,2146.95,0.11532,0.88683,0.89573,0.65957,0.74784,0.79574,0.78244,0.21935,0.85946,0.48129,0.00687222,0.00687222,0.00687222
21,2248.24,0.11454,0.889,0.89751,0.66123,0.81057,0.81485,0.79422,0.24095,0.75905,0.49828,0.00657963,0.00657963,0.00657963
22,2349.26,0.11276,0.86225,0.89247,0.71789,0.77718,0.82351,0.79194,0.27019,0.7627,0.51754,0.00628101,0.00628101,0.00628101
23,2449.82,0.10711,0.86017,0.89362,0.74026,0.7853,0.84279,0.81175,0.26652,0.69661,0.50324,0.00597754,0.00597754,0.00597754
24,2549.88,0.10831,0.84643,0.89372,0.72069,0.80063,0.84716,0.84216,0.19468,0.69645,0.47833,0.0056704,0.0056704,0.0056704
25,2650.07,0.10244,0.83362,0.88739,0.75547,0.7936,0.857,0.84158,0.24983,0.72347,0.49824,0.00536081,0.00536081,0.00536081
