epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.557,1.39584,2.651,1.61066,0.04816,0.11553,0.02586,0.01258,1.99294,4.27894,2.32891,0.0700337,0.00332958,0.00332958
2,595.169,1.2938,2.38942,1.54408,0.23228,0.14698,0.04292,0.01939,1.92727,3.59696,2.2526,0.0400326,0.00666179,0.00666179
3,885.44,1.23711,2.26521,1.51965,0.14777,0.15867,0.07445,0.03723,1.85942,3.24697,2.27079,0.010027,0.00998947,0.00998947
4,1174.88,1.18594,2.13933,1.47891,0.15879,0.15605,0.07844,0.04104,1.75883,3.01616,2.15918,0.00998474,0.00998474,0.00998474
5,1463.83,1.14017,2.054,1.44125,0.19188,0.16791,0.09735,0.05023,1.75777,3.01068,2.11992,0.00997288,0.00997288,0.00997288
6,1752.56,1.11064,1.99512,1.43059,0.1688,0.18353,0.10863,0.05771,1.67365,2.75853,1.97046,0.00995765,0.00995765,0.00995765
7,2041.79,1.09196,1.96696,1.41206,0.14554,0.18268,0.09159,0.04982,1.7277,2.93789,2.06582,0.00993906,0.00993906,0.00993906
8,2330.61,1.07903,1.96013,1.40911,0.20429,0.2055,0.12222,0.0645,1.7174,2.85576,2.08699,0.00991711,0.00991711,0.00991711
9,2619.62,1.0635,1.89208,1.39175,0.21491,0.17893,0.13348,0.07185,1.69686,2.76832,2.01868,0.00989183,0.00989183,0.00989183
10,2908.87,1.06934,1.89206,1.38944,0.19985,0.20631,0.10532,0.05737,1.70712,3.08445,2.0598,0.00986323,0.00986323,0.00986323
11,3197.96,1.04152,1.88659,1.38387,0.21354,0.21086,0.12852,0.06852,1.6201,2.69322,1.90809,0.00983133,0.00983133,0.00983133
12,3486.87,1.04457,1.83444,1.36885,0.19449,0.2207,0.1341,0.06924,1.69077,2.72442,1.99244,0.00979616,0.00979616,0.00979616
13,3775.61,1.05222,1.84195,1.39014,0.21471,0.23363,0.14924,0.08451,1.60666,2.55221,1.93895,0.00975773,0.00975773,0.00975773
14,4064.36,1.03309,1.82261,1.37417,0.23966,0.21235,0.14568,0.07983,1.65957,2.80544,2.02882,0.00971608,0.00971608,0.00971608
15,4352.96,1.03083,1.80318,1.37375,0.22542,0.25124,0.15287,0.08703,1.59987,2.54749,1.90586,0.00967122,0.00967122,0.00967122
16,4641.64,1.00761,1.76419,1.35576,0.22339,0.22804,0.15197,0.08187,1.61413,2.56425,1.91984,0.0096232,0.0096232,0.0096232
17,4930.23,1.01701,1.77787,1.3594,0.24074,0.2177,0.12846,0.07061,1.65891,2.77469,2.04706,0.00957205,0.00957205,0.00957205
18,5218.62,1.0148,1.76239,1.36204,0.29063,0.2369,0.18988,0.11379,1.5215,2.39529,1.83191,0.0095178,0.0095178,0.0095178
19,5507.26,1.00491,1.73503,1.35298,0.26266,0.25366,0.17301,0.09831,1.56492,2.49148,1.87282,0.00946048,0.00946048,0.00946048
20,5795.5,1.00732,1.72583,1.34928,0.3132,0.24445,0.18874,0.11017,1.58635,2.50584,1.89275,0.00940014,0.00940014,0.00940014
21,6083.85,0.98908,1.71043,1.34085,0.27758,0.2632,0.18691,0.10101,1.57827,2.46816,1.91275,0.00933683,0.00933683,0.00933683
22,6371.89,0.99135,1.66709,1.33322,0.28519,0.25852,0.18447,0.10558,1.57193,2.45258,1.87249,0.00927057,0.00927057,0.00927057
23,6659.82,0.99684,1.68504,1.34195,0.29967,0.23004,0.18288,0.10086,1.61674,2.62671,1.93785,0.00920142,0.00920142,0.00920142
24,6947.59,0.99073,1.64078,1.33419,0.32092,0.26549,0.20718,0.11981,1.54568,2.43868,1.87315,0.00912942,0.00912942,0.00912942
25,7235.22,0.98305,1.64109,1.33832,0.27403,0.2386,0.1814,0.09851,1.61786,2.53605,1.99042,0.00905463,0.00905463,0.00905463
26,7522.82,0.97629,1.60972,1.3259,0.34657,0.2999,0.24605,0.14221,1.53102,2.28535,1.83478,0.0089771,0.0089771,0.0089771
27,7810.74,0.97424,1.61156,1.32755,0.35286,0.29418,0.25227,0.14339,1.56064,2.26211,1.83263,0.00889687,0.00889687,0.00889687
